policy,WEEK_END_DATE,STORE_NUM,UPC,seg,state,price_rec,discount_rec,price_mult,promo_feature,promo_display,promo_tpr_only,is_promo,units_pred,revenue_pred,score_penalised
revenue_only,2011-09-14,4245,1111009477,MAINSTREAM,IN,1.54,0.0,1.0,1,1,0,1,116.46082440362787,179.3496695815869,154.3496695815869
revenue_only,2011-06-29,623,7218063052,MAINSTREAM,TX,6.706499999999999,0.15000000000000005,0.85,0,1,0,1,9.795740133947975,65.69513120832208,29.44513120832208
revenue_only,2011-08-17,2281,4116709428,UPSCALE,OH,3.9015,0.15,0.85,1,1,0,1,10.312468370341346,40.23409534688676,3.984095346886761
revenue_only,2011-06-29,19533,7218063979,MAINSTREAM,TX,6.706499999999999,0.15000000000000005,0.85,1,1,0,1,8.428058472455927,56.522774145525666,20.27277414552566
revenue_only,2011-08-31,25261,3700044982,MAINSTREAM,TX,4.731,0.05000000000000011,0.95,1,1,0,1,5.28894954603127,25.022020302273937,-3.72797969772607
revenue_only,2011-06-22,21213,1111009497,MAINSTREAM,OH,1.309,0.15000000000000005,0.85,1,1,0,1,52.1496191198834,68.26385142792736,32.013851427927364
revenue_only,2011-08-10,23055,7192100336,VALUE,OH,6.2604999999999995,0.05000000000000005,0.95,1,1,0,1,9.068865556077162,56.77563281382107,28.025632813821062
revenue_only,2011-07-20,11993,1111009497,UPSCALE,TX,1.054,0.14999999999999997,0.85,1,1,0,1,45.409227985372155,47.861326296582256,11.611326296582256
revenue_only,2011-11-30,25233,7192100336,VALUE,TX,4.742999999999999,0.10000000000000003,0.9,1,1,0,1,27.860266156492703,132.14124238024488,99.64124238024488
revenue_only,2011-06-15,15763,7218063052,UPSCALE,TX,6.3665,0.15,0.85,1,1,0,1,8.679073062286323,55.255318651045876,19.005318651045876
revenue_only,2011-08-10,8263,3800031829,UPSCALE,TX,2.856,0.15,0.85,1,1,0,1,73.56135041584378,210.0912167876498,173.8412167876498
revenue_only,2011-11-30,11761,1111009477,UPSCALE,OH,1.5484999999999998,0.05000000000000008,0.95,1,1,0,1,105.74716397953733,163.74948342231355,134.99948342231355
revenue_only,2011-10-26,4521,2066200532,MAINSTREAM,TX,5.0915,0.15000000000000005,0.85,1,1,0,1,7.562027437293425,38.50206269697947,2.2520626969794684
penalised,2011-12-28,25021,1111085350,VALUE,OH,2.37,0.0,1.0,1,1,0,1,63.5714897543302,150.66443071776257,125.66443071776257
penalised,2011-08-17,2495,88491201426,MAINSTREAM,TX,2.9665,0.15000000000000008,0.85,1,1,0,1,32.62684018910467,96.787521420979,60.537521420979004
penalised,2011-10-05,2541,3700019521,MAINSTREAM,TX,3.46,0.0,1.0,0,0,0,0,1.3100314282224192,4.532708741649571,4.532708741649571
penalised,2011-11-02,17615,7192100337,MAINSTREAM,TX,4.4795,0.14999999999999997,0.85,1,1,0,1,24.61236042842445,110.25106853912732,74.00106853912732
penalised,2011-11-30,28909,7110410455,MAINSTREAM,OH,2.0,0.0,1.0,0,0,0,0,7.139967469131082,14.279934938262164,14.279934938262164
penalised,2011-06-29,21227,31254742835,UPSCALE,OH,4.83,0.0,1.0,0,0,0,0,6.362645052672295,30.731575604407183,30.731575604407183
penalised,2011-12-07,27175,4116709565,UPSCALE,TX,4.99,0.0,1.0,0,0,0,0,1.7913558197575457,8.938865540590154,8.938865540590154
penalised,2011-09-28,26983,31254742735,VALUE,OH,4.99,0.0,1.0,0,0,0,0,4.39745337682056,21.943292350334595,21.943292350334595
penalised,2011-07-06,13853,3700044982,MAINSTREAM,TX,4.4,0.0,1.0,0,0,0,0,2.866750605017227,12.6137026620758,12.6137026620758
penalised,2011-09-28,13853,1111087396,MAINSTREAM,TX,2.93,0.0,1.0,0,0,0,0,9.268939077855698,27.157991498117198,27.157991498117198
penalised,2011-06-08,21227,2840002333,UPSCALE,OH,2.6910000000000003,0.09999999999999996,0.9,0,0,0,0,28.2993628685291,76.15358547921181,68.65358547921181
penalised,2011-11-02,12011,1111009477,MAINSTREAM,TX,1.42,0.0,1.0,0,0,0,0,22.08480142923702,31.36041802951657,31.36041802951657
penalised,2011-11-09,6431,88491201427,VALUE,TX,2.92,0.0,1.0,1,1,0,1,62.9093056122807,183.69517238785963,158.69517238785963
penalised,2011-06-08,23075,3700044982,MAINSTREAM,OH,5.49,0.0,1.0,0,0,0,0,2.894487285844675,15.890735199287265,15.890735199287265
penalised,2011-11-23,21479,88491201426,VALUE,TX,2.628,0.09999999999999994,0.9,1,1,0,1,56.98878935824504,149.76653843346799,117.26653843346799
penalised,2011-07-13,387,7027316204,UPSCALE,OH,2.33,0.0,1.0,0,0,0,0,11.29850946678825,26.325527057616622,26.325527057616622
penalised,2011-10-26,21237,1111035398,MAINSTREAM,OH,2.95,0.0,1.0,0,0,0,0,6.100473436273401,17.996396637006534,17.996396637006534
penalised,2011-11-23,21485,3700031613,MAINSTREAM,TX,4.29,0.0,1.0,0,0,0,0,1.891079303131966,8.112730210436133,8.112730210436133
penalised,2011-07-20,4259,7027312504,VALUE,OH,2.33,0.0,1.0,0,0,0,0,4.438863063948219,10.34255093899935,10.34255093899935
penalised,2011-06-15,25001,1600027564,VALUE,OH,2.547,0.09999999999999996,0.9,1,1,0,1,102.57254283178946,261.25226659256776,228.75226659256776
penalised,2011-12-07,8041,1111087398,MAINSTREAM,OH,3.3235,0.15,0.85,1,1,0,1,21.099762004569072,70.12505902218531,33.87505902218531
penalised,2011-10-26,29159,1111035398,MAINSTREAM,TX,2.99,0.0,1.0,0,0,0,0,2.589435206885597,7.742411268587936,7.742411268587936
penalised,2011-11-23,25233,4116709448,VALUE,TX,4.59,0.0,1.0,0,0,0,0,1.5792456964439623,7.2487377466777865,7.2487377466777865
penalised,2011-11-09,389,7192100336,MAINSTREAM,KY,4.93,0.15000000000000002,0.85,1,1,0,1,23.358176137711634,115.15580835891835,78.90580835891835
penalised,2011-06-08,389,3700031613,MAINSTREAM,KY,4.92,0.0,1.0,0,0,0,0,3.1313925518217114,15.40645135496282,15.40645135496282
penalised,2011-12-07,28909,4116709565,MAINSTREAM,OH,4.99,0.0,1.0,0,0,0,0,1.9870035067267162,9.915147498566315,9.915147498566315
penalised,2011-09-28,2523,1111087395,VALUE,TX,3.72,0.0,1.0,0,0,0,0,6.70464975096536,24.94129707359114,24.94129707359114
penalised,2011-08-17,28909,1111087395,MAINSTREAM,OH,3.4,0.15000000000000002,0.85,1,1,0,1,23.177526070104452,78.80358863835514,42.55358863835514
penalised,2011-10-26,21221,1111009507,VALUE,OH,1.4580000000000002,0.09999999999999995,0.9,1,1,0,1,49.516339458789005,72.19482293091438,39.694822930914384
penalised,2011-12-21,19523,1111085345,VALUE,TX,1.57,0.0,1.0,0,0,0,0,26.48435572265876,41.58043848457425,41.58043848457425
penalised,2011-12-14,2495,1111009497,MAINSTREAM,TX,1.22,0.0,1.0,0,0,0,0,27.477367597342734,33.52238846875814,33.52238846875814
penalised,2011-09-21,613,1111035398,MAINSTREAM,TX,2.92,0.0,1.0,0,0,0,0,4.042751761505615,11.804835143596396,11.804835143596396
penalised,2011-12-28,13859,3700031613,MAINSTREAM,TX,4.25,0.0,1.0,0,0,0,0,2.021903365246802,8.593089302298909,8.593089302298909
penalised,2011-12-14,13837,1111009477,MAINSTREAM,TX,1.22,0.0,1.0,1,1,0,1,99.80582992743119,121.76311251146605,96.76311251146605
penalised,2011-12-07,15765,1111087395,MAINSTREAM,TX,3.306,0.04999999999999998,0.95,0,0,0,0,10.832323219521099,35.81166056373675,32.06166056373675
penalised,2011-12-28,15765,1111035398,MAINSTREAM,TX,2.84,0.0,1.0,0,0,0,0,2.1159345316920075,6.009254070005301,6.009254070005301
penalised,2011-06-29,4245,4116709428,MAINSTREAM,IN,4.59,0.0,1.0,0,0,0,0,1.590024968549955,7.298214605644294,7.298214605644294
penalised,2011-10-12,21221,4116709428,VALUE,OH,4.59,0.0,1.0,0,0,0,0,1.2903349507327464,5.922637423863306,5.922637423863306
penalised,2011-07-13,2541,3000006560,MAINSTREAM,TX,2.98,0.0,1.0,1,1,0,1,20.53885160338185,61.205777778077916,36.205777778077916
penalised,2011-06-15,25021,3800039118,VALUE,OH,2.988,0.09999999999999996,0.9,1,1,0,1,111.26742732000196,332.46707283216585,299.96707283216585
penalised,2011-08-31,6431,3700044982,VALUE,TX,4.98,0.0,1.0,0,0,0,0,2.4007445215800423,11.955707717468611,11.955707717468611
penalised,2011-07-20,23349,2840004770,VALUE,TX,3.29,0.0,1.0,0,0,0,0,2.5796941659237844,8.48719380588925,8.48719380588925
penalised,2011-12-28,389,7027316204,MAINSTREAM,KY,1.98,0.0,1.0,1,1,0,1,65.75482492827594,130.19455335798636,105.19455335798636
penalised,2012-01-04,2281,3700044982,UPSCALE,OH,4.968500000000001,0.04999999999999997,0.95,1,1,0,1,17.19413920393992,85.4290806347755,56.6790806347755
penalised,2011-11-16,13609,2066200531,MAINSTREAM,OH,5.0915,0.15000000000000005,0.85,1,1,0,1,21.059103659266654,107.22242628115617,70.97242628115617
penalised,2011-10-26,6187,4116709448,MAINSTREAM,OH,4.59,0.0,1.0,0,0,0,0,1.687282938134016,7.744628686035133,7.744628686035133
penalised,2011-11-09,21221,88491201427,VALUE,OH,3.186,0.10000000000000002,0.9,1,1,0,1,52.65930854853455,167.77255703563105,135.27255703563105
penalised,2011-10-19,23055,7192100339,VALUE,OH,5.22,0.10000000000000002,0.9,1,1,0,1,27.23123666714332,142.14705540248812,109.64705540248812
penalised,2011-08-31,25021,3700044982,VALUE,OH,5.23,0.0,1.0,0,0,0,0,1.950549864621615,10.201375791971047,10.201375791971047
penalised,2011-08-24,15763,1600027564,UPSCALE,TX,3.06,0.09999999999999996,0.9,1,1,0,1,54.36487774027499,166.35652588524147,133.85652588524147
penalised,2011-08-10,13827,1111087396,MAINSTREAM,TX,3.186,0.10000000000000002,0.9,1,1,0,1,21.818749835631586,69.51453697632223,37.01453697632223
penalised,2011-07-13,21227,2066200532,UPSCALE,OH,6.1655,0.050000000000000065,0.95,1,1,0,1,9.651175136896272,59.50432030653396,30.754320306533955
penalised,2011-10-19,6179,1600027527,UPSCALE,OH,2.533,0.15000000000000002,0.85,1,1,0,1,191.8912601592107,486.0605619832807,449.8105619832807
penalised,2011-10-19,25261,1111035398,MAINSTREAM,TX,2.89,0.0,1.0,0,0,0,0,3.6077074545922407,10.426274543771576,10.426274543771576
penalised,2011-11-23,2279,1600027527,MAINSTREAM,OH,2.55,0.15000000000000005,0.85,1,1,0,1,110.91923654719527,282.8440531953479,246.5940531953479
penalised,2011-06-08,6379,3000006610,MAINSTREAM,TX,2.5075000000000003,0.14999999999999997,0.85,1,1,0,1,52.64540793973051,132.00836040887427,95.75836040887427
penalised,2011-11-09,8041,7110410455,MAINSTREAM,OH,2.0,0.0,1.0,0,0,0,0,7.425060545212463,14.850121090424926,14.850121090424926
penalised,2011-06-15,4245,88491212971,MAINSTREAM,IN,2.52,0.09999999999999994,0.9,1,1,0,1,59.57552725076175,150.1303286719196,117.63032867191961
penalised,2011-12-07,6179,7218063979,UPSCALE,OH,6.3665,0.15,0.85,1,1,0,1,12.875222593836865,81.97010464366241,45.72010464366241
penalised,2011-12-21,2277,31254742735,UPSCALE,OH,4.473,0.09999999999999998,0.9,1,1,0,1,23.46500893712878,104.95898497577703,72.45898497577703
penalised,2011-10-19,15541,1111009477,MAINSTREAM,OH,1.5484999999999998,0.05000000000000008,0.95,1,1,0,1,73.4314428574357,113.70858926473916,84.95858926473916
penalised,2011-09-07,25261,7218063979,MAINSTREAM,TX,6.3665,0.15,0.85,1,1,0,1,10.874937326961351,69.23528849209944,32.98528849209944
penalised,2011-06-08,25027,7218063983,MAINSTREAM,OH,6.0264999999999995,0.15000000000000005,0.85,1,1,0,1,27.17415117629926,163.76502206396748,127.51502206396748
penalised,2011-06-08,21213,7027316204,MAINSTREAM,OH,1.61,0.0,1.0,0,0,0,0,12.694035199545098,20.43739667126761,20.43739667126761
penalised,2011-06-15,4503,1600027528,AMBIGUOUS,TX,4.131,0.09999999999999992,0.9,1,1,0,1,63.82477231701146,263.66013444157437,231.16013444157437
penalised,2011-12-14,15765,1111087395,MAINSTREAM,TX,3.211,0.05000000000000001,0.95,0,0,0,0,13.021241293170362,41.81120579237003,38.06120579237003
penalised,2011-07-27,4245,3700031613,MAINSTREAM,IN,4.29,0.0,1.0,0,0,0,0,3.3816357851589505,14.507217518331897,14.507217518331897
penalised,2011-07-06,2281,7110410455,UPSCALE,OH,2.0,0.0,1.0,0,0,0,0,10.401366584651855,20.80273316930371,20.80273316930371
penalised,2011-08-10,2495,7797502248,MAINSTREAM,TX,2.69,0.0,1.0,0,0,0,0,3.4268542333053165,9.2182378875913,9.2182378875913
penalised,2011-11-16,27175,2066200532,UPSCALE,TX,6.74,0.0,1.0,0,0,0,0,3.5491163500493634,23.92104419933271,23.92104419933271
penalised,2011-08-24,17599,7192100336,VALUE,TX,5.076,0.10000000000000002,0.9,1,1,0,1,18.78507881421602,95.35306006096052,62.853060060960516
penalised,2012-01-04,13609,7218063983,MAINSTREAM,OH,6.6405,0.04999999999999999,0.95,1,1,0,1,8.975311777015659,59.600557855272484,30.850557855272484
penalised,2011-10-26,21221,2840004768,VALUE,OH,3.29,0.0,1.0,0,0,0,0,2.670782279291637,8.786873698869485,8.786873698869485
penalised,2012-01-04,23061,3800031829,MAINSTREAM,OH,3.5010000000000003,0.09999999999999994,0.9,1,1,0,1,74.81093733441443,261.91309160778496,229.41309160778496
penalised,2011-12-14,4245,1111085350,MAINSTREAM,IN,2.44,0.0,1.0,1,1,0,1,71.4045780607009,174.2271704681102,149.2271704681102
penalised,2011-08-10,4245,3800031829,MAINSTREAM,IN,3.3065,0.14999999999999997,0.85,1,1,0,1,90.22582701764583,298.33169703384596,262.08169703384596
penalised,2011-12-14,13827,88491212971,MAINSTREAM,TX,2.592,0.09999999999999994,0.9,1,1,0,1,48.69179259654802,126.20912641025247,93.70912641025247
penalised,2011-06-15,25027,7192100336,MAINSTREAM,OH,6.2604999999999995,0.05000000000000005,0.95,1,1,0,1,16.726321772133627,104.71513745444257,75.96513745444257
penalised,2011-07-06,2277,1111038078,UPSCALE,OH,1.69,0.0,1.0,0,0,0,0,10.472737254399007,17.69892595993432,17.69892595993432
penalised,2011-09-07,2513,1111038078,UPSCALE,TX,1.54,0.0,1.0,0,0,0,0,8.92256679923319,13.740752870819112,13.740752870819112
penalised,2011-10-26,23349,2840004768,VALUE,TX,3.29,0.0,1.0,0,0,0,0,3.303892848808976,10.869807472581531,10.869807472581531
penalised,2011-07-06,623,7797508004,MAINSTREAM,TX,3.29,0.0,1.0,0,0,0,0,2.4412543146699233,8.031726695264048,8.031726695264048
penalised,2011-08-03,613,88491201426,MAINSTREAM,TX,3.1410000000000005,0.09999999999999992,0.9,1,1,0,1,67.79526181307007,212.94491735485312,180.44491735485312
penalised,2011-09-28,17615,1111038078,MAINSTREAM,TX,1.58,0.0,1.0,0,0,0,0,5.098910226797157,8.05627815833951,8.05627815833951
penalised,2011-08-10,21237,88491201427,MAINSTREAM,OH,2.781,0.09999999999999991,0.9,1,1,0,1,70.85063042071833,197.0356032000177,164.5356032000177
penalised,2011-11-30,25001,1111038078,VALUE,OH,1.67,0.0,1.0,0,0,0,0,3.4666264664355544,5.7892661989473755,5.7892661989473755
penalised,2011-07-13,26983,1111009497,VALUE,OH,1.55,0.0,1.0,0,0,0,0,16.88129652624536,26.16600961568031,26.16600961568031
penalised,2011-10-19,2523,1111085345,VALUE,TX,1.63,0.0,1.0,0,0,0,0,24.236384522396552,39.505306771506376,39.505306771506376
penalised,2011-12-14,2513,31254742735,UPSCALE,TX,4.473,0.09999999999999998,0.9,1,1,0,1,33.65980758130422,150.56031931117377,118.06031931117377
penalised,2011-06-15,8035,3000006340,VALUE,OH,3.59,0.0,1.0,0,0,0,0,2.2309246176151443,8.009019377238367,8.009019377238367
penalised,2011-06-15,23061,1111085350,MAINSTREAM,OH,2.0909999999999997,0.15000000000000008,0.85,1,1,0,1,84.51202973483639,176.71465417554288,140.46465417554288
penalised,2011-10-19,8263,31254742835,UPSCALE,TX,4.97,0.0,1.0,0,0,0,0,2.745318006897663,13.644230494281384,13.644230494281384
penalised,2011-11-09,19521,1111087398,UPSCALE,TX,3.3249999999999997,0.05000000000000008,0.95,0,0,0,0,8.428374839740997,28.024346342138813,24.274346342138806
penalised,2011-08-24,28909,1111085345,MAINSTREAM,OH,1.99,0.0,1.0,1,1,0,1,69.22443104005599,137.75661776971143,112.75661776971143
penalised,2011-11-09,6431,1600027528,VALUE,TX,3.9149999999999996,0.10000000000000002,0.9,1,1,0,1,52.26631253151826,204.62261356089397,172.12261356089397
penalised,2011-07-13,11761,88491212971,UPSCALE,OH,2.6910000000000003,0.09999999999999996,0.9,1,1,0,1,59.00781607512143,158.79003305815178,126.29003305815178
penalised,2011-06-29,8035,1600027528,VALUE,OH,4.79,0.0,1.0,0,0,0,0,4.06160309767018,19.455078837840162,19.455078837840162
penalised,2011-12-21,21227,1600027564,UPSCALE,OH,2.5245,0.15,0.85,1,1,0,1,194.2114433934293,490.28678884671234,454.03678884671234
penalised,2011-08-24,367,1111035398,VALUE,KY,3.29,0.0,1.0,0,0,0,0,1.72387449903574,5.671547101827585,5.671547101827585
penalised,2011-06-15,8041,3000006610,MAINSTREAM,OH,2.5925,0.15000000000000002,0.85,1,1,0,1,43.74115788622173,113.39895182002982,77.14895182002982
penalised,2011-09-28,23345,1111087396,UPSCALE,TX,3.66,0.0,1.0,0,0,0,0,2.793854481929498,10.225507403861963,10.225507403861963
penalised,2011-11-09,23067,7110410470,MAINSTREAM,OH,2.0,0.0,1.0,0,0,0,0,8.774608139962508,17.549216279925016,17.549216279925016
penalised,2011-12-14,2523,1600027527,VALUE,TX,2.6910000000000003,0.09999999999999996,0.9,1,1,0,1,98.1262153542152,264.05764551819317,231.55764551819317
penalised,2011-09-21,613,3700044982,MAINSTREAM,TX,4.65,0.0,1.0,0,0,0,0,3.9810705897263676,18.51197824222761,18.51197824222761
penalised,2011-08-17,13859,3000006610,MAINSTREAM,TX,2.533,0.15000000000000002,0.85,1,1,0,1,35.53263797880667,90.00417200031728,53.75417200031728
penalised,2011-07-20,19523,1111085319,VALUE,TX,1.82,0.0,1.0,0,0,0,0,14.36794055067842,26.149651802234725,26.149651802234725
penalised,2011-11-09,2513,1111085319,UPSCALE,TX,1.7954999999999999,0.05000000000000002,0.95,0,0,0,0,12.148816411400915,21.81319986667034,18.06319986667034
penalised,2011-08-24,17627,1600027528,AMBIGUOUS,TX,3.9015,0.15,0.85,1,1,0,1,44.825261476825055,174.88575765183296,138.63575765183296
penalised,2011-07-20,23055,7192100337,VALUE,OH,6.59,0.0,1.0,1,1,0,1,8.824937325791554,58.15633697696634,33.15633697696634
penalised,2011-08-24,21221,1111087395,VALUE,OH,3.96,0.0,1.0,0,0,0,0,12.28277442830781,48.63978673609893,48.63978673609893
penalised,2011-09-28,21485,7797508006,MAINSTREAM,TX,3.29,0.0,1.0,0,0,0,0,3.184039592157397,10.475490258197837,10.475490258197837
penalised,2011-06-15,19533,88491201427,MAINSTREAM,TX,2.9665,0.15000000000000008,0.85,1,1,0,1,81.5418138722335,241.8937908519807,205.6437908519807
penalised,2011-07-20,13853,2066200531,MAINSTREAM,TX,4.49,0.0,1.0,0,0,0,0,4.60761140370009,20.688175202613404,20.688175202613404
penalised,2011-06-29,4489,3700019521,UPSCALE,TX,3.46,0.0,1.0,0,0,0,0,2.267667139256664,7.846128301828057,7.846128301828057
penalised,2011-10-05,25229,88491212971,MAINSTREAM,TX,2.592,0.09999999999999994,0.9,1,1,0,1,77.01576749209315,199.62486933950544,167.12486933950544
penalised,2011-11-23,15765,1111087398,MAINSTREAM,TX,3.53,0.0,1.0,0,0,0,0,7.071134880264954,24.961106127335288,24.961106127335288
penalised,2011-07-06,613,3000006560,MAINSTREAM,TX,2.533,0.15000000000000002,0.85,1,1,0,1,73.15813397909007,185.30955336903514,149.05955336903514
penalised,2011-10-26,2279,3700044982,MAINSTREAM,OH,4.99,0.0,1.0,0,0,0,0,3.228953897511811,16.112479948583935,16.112479948583935
penalised,2011-08-31,13827,1600027564,MAINSTREAM,TX,2.9610000000000003,0.09999999999999992,0.9,1,1,0,1,67.28432410127346,199.22888366387073,166.72888366387073
penalised,2011-08-31,11761,88491212971,UPSCALE,OH,2.583,0.09999999999999996,0.9,1,1,0,1,71.99434141905134,185.96138388540962,153.46138388540962
penalised,2011-06-08,11993,31254742835,UPSCALE,TX,4.83,0.0,1.0,0,0,0,0,4.831318969920244,23.33527062471478,23.33527062471478
penalised,2011-07-27,389,3800031829,MAINSTREAM,KY,3.3065,0.14999999999999997,0.85,1,1,0,1,91.28622785097025,301.83791238923317,265.58791238923317
penalised,2011-07-27,25261,1111038080,MAINSTREAM,TX,1.58,0.0,1.0,0,0,0,0,2.354184898970422,3.7196121403732674,3.7196121403732674
penalised,2011-09-21,15755,3800031829,VALUE,TX,2.856,0.15,0.85,1,1,0,1,23.662756287050076,67.58083195581501,31.330831955815015
